sample,repository,forks,diskUsage_KB,stargazers,watchers,issues,commits,pullRequests,updatedAt,projects,status,ahead_by,behind_by
android,dsokolov/easypermissions,0,164,0,1,0,49,0,2016-10-18T11:06:30Z,0,diverged,1,116
android,DuanBinbin/google-services,0,8431,0,0,0,617,0,2017-09-12T06:54:20Z,0,diverged,1,12
android,duanbo1983/android-DisplayingBitmaps,0,1189,0,1,0,10,0,2015-01-27T01:14:14Z,0,diverged,4,19
android,dukemike/android-vision,0,726,0,1,0,74,0,2017-11-16T14:10:02Z,0,diverged,3,5
android,durzoflint/android-vision,0,718,0,1,0,71,0,2017-08-08T15:40:06Z,0,diverged,2,7
android,dylanneve1/android-Camera2Basic,0,16554,0,0,0,36,0,2018-03-01T22:25:37Z,0,ahead,8,0
android,dylian94/android-Camera2Basic,0,226,1,1,0,7,0,2014-10-24T21:37:10Z,0,diverged,6,27
android,dzwiedziu-nkg/android-BluetoothLeGatt,0,316,0,1,0,26,0,2016-06-28T09:20:30Z,0,diverged,3,2
android,edicon/android-fit,0,892,0,1,0,55,0,2016-10-08T07:13:25Z,0,diverged,10,9
android,einverne/android-RuntimePermissions,0,514,0,1,0,12,0,2016-05-26T11:32:13Z,0,diverged,2,6
android,Ekt0s/android-testing,0,10824,0,1,0,74,0,2016-01-12T21:18:56Z,0,diverged,2,111
android,ElectroBuddha/leanback-showcase,0,87642,0,1,0,42,1,2018-07-10T11:08:35Z,0,ahead,2,0
android,elodieferrais/android-instant-apps,0,548,0,0,0,29,0,2018-02-02T01:24:42Z,0,diverged,2,9
android,emjei/android-DirectBoot,0,2315,0,1,0,16,0,2018-07-12T05:47:51Z,0,ahead,1,0
android,Endika/android-fit,0,440,0,1,0,36,2,2014-12-15T08:43:56Z,0,diverged,2,20
android,endless-qa/android-NavigationDrawer,0,555,0,0,0,27,0,2018-07-29T12:25:18Z,0,ahead,1,0
android,eneim/android-play-places,0,260,0,1,0,8,0,2015-12-12T11:25:58Z,0,diverged,1,17
android,Erdk/android-BluetoothLeGatt,0,318,0,1,0,31,0,2018-03-28T21:10:38Z,0,ahead,6,0
android,ericchiu/android-AccelerometerPlay,0,3320,0,0,0,4,0,2016-11-20T21:45:54Z,0,ahead,3,0
android,Ericliu001/android-XYZTouristAttractions,0,26392,1,1,0,19,0,2017-03-01T04:13:06Z,0,diverged,2,7
android,erkhemee/androidtv-sample-inputs,1,24009,0,1,0,196,0,2017-09-28T12:55:55Z,0,ahead,1,0
android,ernestkamara/easypermissions,0,446,0,1,0,136,1,2018-03-15T20:29:36Z,0,diverged,5,33
android,Errryx/android-Camera2Video,0,6923,0,1,0,22,0,2016-07-03T16:10:57Z,0,diverged,1,6
android,ethanp/android-BluetoothLeGatt,0,316,0,1,0,24,0,2016-10-10T19:56:48Z,0,diverged,4,5
android,EthanZhuGit/android-DisplayingBitmaps,0,1058,0,0,0,26,0,2018-05-03T10:27:19Z,0,ahead,1,0
android,evansherry/android-testing,0,11045,0,0,0,104,0,2017-08-24T01:38:56Z,0,diverged,1,80
android,evanstrip/android-NavigationDrawer,0,630,0,1,0,23,0,2015-09-12T10:59:19Z,0,diverged,8,11
android,Evin1-/android-RuntimePermissions,0,505,0,1,0,9,0,2016-04-17T18:17:08Z,0,diverged,1,8
android,eyeballss/android-Camera2Basic,0,1466,0,1,0,31,0,2018-03-20T12:29:34Z,0,ahead,3,0
android,Ezreal147/android-BluetoothChat,0,584,0,0,0,44,0,2018-04-08T13:03:24Z,0,diverged,20,1
android,fabio-filho/android-ActivityInstrumentation,0,120,0,1,0,25,0,2018-03-28T19:07:06Z,0,ahead,1,0
